#           k/h    P           
    0.10000E-03    0.57246E+03
    0.10202E-03    0.58356E+03
    0.10408E-03    0.59488E+03
    0.10618E-03    0.60641E+03
    0.10833E-03    0.61817E+03
    0.11052E-03    0.63016E+03
    0.11275E-03    0.64238E+03
    0.11503E-03    0.65483E+03
    0.11735E-03    0.66753E+03
    0.11972E-03    0.68047E+03
    0.12214E-03    0.69366E+03
    0.12461E-03    0.70711E+03
    0.12712E-03    0.72082E+03
    0.12969E-03    0.73479E+03
    0.13231E-03    0.74904E+03
    0.13499E-03    0.76356E+03
    0.13771E-03    0.77836E+03
    0.14049E-03    0.79344E+03
    0.14333E-03    0.80882E+03
    0.14623E-03    0.82449E+03
    0.14918E-03    0.84047E+03
    0.15220E-03    0.85676E+03
    0.15527E-03    0.87336E+03
    0.15841E-03    0.89028E+03
    0.16161E-03    0.90753E+03
    0.16487E-03    0.92511E+03
    0.16820E-03    0.94303E+03
    0.17160E-03    0.96130E+03
    0.17507E-03    0.97992E+03
    0.17860E-03    0.99890E+03
    0.18221E-03    0.10182E+04
    0.18589E-03    0.10380E+04
    0.18965E-03    0.10581E+04
    0.19348E-03    0.10785E+04
    0.19739E-03    0.10994E+04
    0.20138E-03    0.11207E+04
    0.20544E-03    0.11424E+04
    0.20959E-03    0.11645E+04
    0.21383E-03    0.11870E+04
    0.21815E-03    0.12100E+04
    0.22255E-03    0.12334E+04
    0.22705E-03    0.12573E+04
    0.23164E-03    0.12816E+04
    0.23632E-03    0.13064E+04
    0.24109E-03    0.13316E+04
    0.24596E-03    0.13574E+04
    0.25093E-03    0.13836E+04
    0.25600E-03    0.14104E+04
    0.26117E-03    0.14376E+04
    0.26645E-03    0.14654E+04
    0.27183E-03    0.14937E+04
    0.27732E-03    0.15226E+04
    0.28292E-03    0.15520E+04
    0.28864E-03    0.15819E+04
    0.29447E-03    0.16125E+04
    0.30042E-03    0.16436E+04
    0.30649E-03    0.16753E+04
    0.31268E-03    0.17076E+04
    0.31899E-03    0.17406E+04
    0.32544E-03    0.17741E+04
    0.33201E-03    0.18083E+04
    0.33872E-03    0.18432E+04
    0.34556E-03    0.18787E+04
    0.35254E-03    0.19149E+04
    0.35966E-03    0.19518E+04
    0.36693E-03    0.19893E+04
    0.37434E-03    0.20276E+04
    0.38190E-03    0.20667E+04
    0.38962E-03    0.21064E+04
    0.39749E-03    0.21469E+04
    0.40552E-03    0.21882E+04
    0.41371E-03    0.22302E+04
    0.42207E-03    0.22731E+04
    0.43060E-03    0.23167E+04
    0.43929E-03    0.23612E+04
    0.44817E-03    0.24065E+04
    0.45722E-03    0.24526E+04
    0.46646E-03    0.24996E+04
    0.47588E-03    0.25475E+04
    0.48550E-03    0.25963E+04
    0.49530E-03    0.26460E+04
    0.50531E-03    0.26967E+04
    0.51552E-03    0.27482E+04
    0.52593E-03    0.28008E+04
    0.53656E-03    0.28543E+04
    0.54739E-03    0.29088E+04
    0.55845E-03    0.29643E+04
    0.56973E-03    0.30208E+04
    0.58124E-03    0.30784E+04
    0.59299E-03    0.31370E+04
    0.60496E-03    0.31968E+04
    0.61719E-03    0.32576E+04
    0.62965E-03    0.33195E+04
    0.64237E-03    0.33826E+04
    0.65535E-03    0.34468E+04
    0.66859E-03    0.35122E+04
    0.68210E-03    0.35788E+04
    0.69588E-03    0.36466E+04
    0.70993E-03    0.37156E+04
    0.72427E-03    0.37858E+04
    0.73891E-03    0.38574E+04
    0.75383E-03    0.39302E+04
    0.76906E-03    0.40043E+04
    0.78460E-03    0.40798E+04
    0.80045E-03    0.41566E+04
    0.81662E-03    0.42348E+04
    0.83311E-03    0.43144E+04
    0.84994E-03    0.43954E+04
    0.86711E-03    0.44778E+04
    0.88463E-03    0.45617E+04
    0.90250E-03    0.46470E+04
    0.92073E-03    0.47339E+04
    0.93933E-03    0.48223E+04
    0.95831E-03    0.49122E+04
    0.97767E-03    0.50037E+04
    0.99742E-03    0.50968E+04
    0.10176E-02    0.51914E+04
    0.10381E-02    0.52878E+04
    0.10591E-02    0.53857E+04
    0.10805E-02    0.54854E+04
    0.11023E-02    0.55867E+04
    0.11246E-02    0.56898E+04
    0.11473E-02    0.57946E+04
    0.11705E-02    0.59012E+04
    0.11941E-02    0.60096E+04
    0.12182E-02    0.61197E+04
    0.12429E-02    0.62317E+04
    0.12680E-02    0.63456E+04
    0.12936E-02    0.64613E+04
    0.13197E-02    0.65790E+04
    0.13464E-02    0.66986E+04
    0.13736E-02    0.68201E+04
    0.14013E-02    0.69435E+04
    0.14296E-02    0.70690E+04
    0.14585E-02    0.71964E+04
    0.14880E-02    0.73259E+04
    0.15180E-02    0.74574E+04
    0.15487E-02    0.75910E+04
    0.15800E-02    0.77267E+04
    0.16119E-02    0.78645E+04
    0.16445E-02    0.80044E+04
    0.16777E-02    0.81464E+04
    0.17116E-02    0.82906E+04
    0.17462E-02    0.84370E+04
    0.17814E-02    0.85855E+04
    0.18174E-02    0.87363E+04
    0.18541E-02    0.88893E+04
    0.18916E-02    0.90445E+04
