#    L    TT             EE             TE             PP             TP          
     2    0.11648E+04    0.51096E-01    0.32417E+01    0.10106E+07    0.33437E+05
     3    0.10811E+04    0.84868E-01    0.41284E+01    0.15575E+07    0.39603E+05
     4    0.10047E+04    0.96821E-01    0.42866E+01    0.20424E+07    0.42445E+05
     5    0.94610E+03    0.87119E-01    0.40039E+01    0.24702E+07    0.43528E+05
     6    0.90340E+03    0.65207E-01    0.35088E+01    0.28477E+07    0.43636E+05
     7    0.87353E+03    0.41909E-01    0.29468E+01    0.31823E+07    0.43204E+05
     8    0.85321E+03    0.24273E-01    0.24078E+01    0.34799E+07    0.42424E+05
     9    0.84014E+03    0.14255E-01    0.19381E+01    0.37459E+07    0.41394E+05
    10    0.83277E+03    0.10179E-01    0.15643E+01    0.39838E+07    0.40223E+05
    11    0.82946E+03    0.90991E-02    0.12975E+01    0.41982E+07    0.39038E+05
    12    0.83028E+03    0.86882E-02    0.11398E+01    0.43907E+07    0.37899E+05
    13    0.83343E+03    0.78914E-02    0.10703E+01    0.45637E+07    0.36817E+05
    14    0.83790E+03    0.68141E-02    0.10624E+01    0.47198E+07    0.35784E+05
    15    0.84394E+03    0.58927E-02    0.10975E+01    0.48606E+07    0.34772E+05
    16    0.85192E+03    0.55012E-02    0.11596E+01    0.49876E+07    0.33757E+05
    17    0.86172E+03    0.56542E-02    0.12327E+01    0.51023E+07    0.32766E+05
    18    0.87237E+03    0.60744E-02    0.13041E+01    0.52059E+07    0.31823E+05
    19    0.88469E+03    0.65268E-02    0.13666E+01    0.52992E+07    0.30921E+05
    20    0.89699E+03    0.68980E-02    0.14142E+01    0.53828E+07    0.30044E+05
    21    0.90962E+03    0.72499E-02    0.14517E+01    0.54577E+07    0.29187E+05
    22    0.92282E+03    0.77615E-02    0.14850E+01    0.55250E+07    0.28348E+05
    23    0.93642E+03    0.85436E-02    0.15161E+01    0.55852E+07    0.27536E+05
    24    0.95049E+03    0.96364E-02    0.15467E+01    0.56387E+07    0.26758E+05
    25    0.96494E+03    0.11036E-01    0.15800E+01    0.56860E+07    0.26018E+05
    26    0.97959E+03    0.12686E-01    0.16195E+01    0.57278E+07    0.25312E+05
    27    0.99466E+03    0.14527E-01    0.16631E+01    0.57645E+07    0.24637E+05
    28    0.10100E+04    0.16540E-01    0.17085E+01    0.57965E+07    0.23989E+05
    29    0.10257E+04    0.18744E-01    0.17538E+01    0.58239E+07    0.23371E+05
    30    0.10416E+04    0.21168E-01    0.17955E+01    0.58468E+07    0.22786E+05
    31    0.10577E+04    0.23780E-01    0.18303E+01    0.58656E+07    0.22230E+05
    32    0.10741E+04    0.26538E-01    0.18549E+01    0.58811E+07    0.21692E+05
    33    0.10909E+04    0.29438E-01    0.18657E+01    0.58933E+07    0.21168E+05
    34    0.11079E+04    0.32499E-01    0.18614E+01    0.59024E+07    0.20652E+05
    35    0.11250E+04    0.35752E-01    0.18463E+01    0.59087E+07    0.20146E+05
    36    0.11423E+04    0.39229E-01    0.18233E+01    0.59123E+07    0.19652E+05
    37    0.11596E+04    0.42941E-01    0.17882E+01    0.59135E+07    0.19179E+05
    38    0.11774E+04    0.46901E-01    0.17384E+01    0.59124E+07    0.18735E+05
    39    0.11955E+04    0.51118E-01    0.16774E+01    0.59091E+07    0.18316E+05
    40    0.12138E+04    0.55608E-01    0.16100E+01    0.59037E+07    0.17913E+05
    41    0.12323E+04    0.60386E-01    0.15396E+01    0.58965E+07    0.17521E+05
    42    0.12508E+04    0.65451E-01    0.14635E+01    0.58874E+07    0.17139E+05
    43    0.12694E+04    0.70796E-01    0.13779E+01    0.58766E+07    0.16767E+05
    44    0.12880E+04    0.76401E-01    0.12799E+01    0.58643E+07    0.16409E+05
    45    0.13070E+04    0.82255E-01    0.11665E+01    0.58505E+07    0.16063E+05
    46    0.13263E+04    0.88353E-01    0.10338E+01    0.58354E+07    0.15731E+05
    47    0.13457E+04    0.94699E-01    0.88404E+00    0.58190E+07    0.15411E+05
    48    0.13652E+04    0.10131E+00    0.72339E+00    0.58015E+07    0.15100E+05
    49    0.13848E+04    0.10817E+00    0.55754E+00    0.57830E+07    0.14795E+05
    50    0.14049E+04    0.11527E+00    0.38540E+00    0.57634E+07    0.14494E+05
    51    0.14251E+04    0.12259E+00    0.20389E+00    0.57430E+07    0.14194E+05
    52    0.14457E+04    0.13020E+00    0.76899E-02    0.57217E+07    0.13898E+05
    53    0.14664E+04    0.13824E+00   -0.20722E+00    0.56996E+07    0.13610E+05
    54    0.14869E+04    0.14670E+00   -0.43689E+00    0.56768E+07    0.13332E+05
    55    0.15076E+04    0.15554E+00   -0.67726E+00    0.56533E+07    0.13069E+05
    56    0.15287E+04    0.16461E+00   -0.93031E+00    0.56292E+07    0.12823E+05
    57    0.15500E+04    0.17381E+00   -0.11959E+01    0.56044E+07    0.12591E+05
    58    0.15717E+04    0.18317E+00   -0.14745E+01    0.55791E+07    0.12372E+05
    59    0.15935E+04    0.19272E+00   -0.17667E+01    0.55533E+07    0.12160E+05
    60    0.16154E+04    0.20253E+00   -0.20717E+01    0.55270E+07    0.11955E+05
    61    0.16378E+04    0.21271E+00   -0.23884E+01    0.55002E+07    0.11752E+05
    62    0.16601E+04    0.22322E+00   -0.27181E+01    0.54729E+07    0.11551E+05
    63    0.16826E+04    0.23404E+00   -0.30620E+01    0.54453E+07    0.11352E+05
    64    0.17054E+04    0.24515E+00   -0.34216E+01    0.54174E+07    0.11155E+05
    65    0.17282E+04    0.25654E+00   -0.37979E+01    0.53892E+07    0.10958E+05
    66    0.17514E+04    0.26811E+00   -0.41891E+01    0.53607E+07    0.10762E+05
    67    0.17748E+04    0.27989E+00   -0.45921E+01    0.53321E+07    0.10569E+05
    68    0.17985E+04    0.29190E+00   -0.50047E+01    0.53033E+07    0.10380E+05
    69    0.18225E+04    0.30412E+00   -0.54244E+01    0.52743E+07    0.10197E+05
    70    0.18468E+04    0.31658E+00   -0.58524E+01    0.52452E+07    0.10023E+05
    71    0.18712E+04    0.32928E+00   -0.62907E+01    0.52160E+07    0.98582E+04
    72    0.18958E+04    0.34218E+00   -0.67409E+01    0.51866E+07    0.97024E+04
    73    0.19205E+04    0.35526E+00   -0.72039E+01    0.51572E+07    0.95539E+04
    74    0.19455E+04    0.36850E+00   -0.76793E+01    0.51277E+07    0.94112E+04
    75    0.19708E+04    0.38191E+00   -0.81660E+01    0.50980E+07    0.92728E+04
    76    0.19963E+04    0.39549E+00   -0.86636E+01    0.50683E+07    0.91376E+04
    77    0.20222E+04    0.40923E+00   -0.91722E+01    0.50385E+07    0.90046E+04
    78    0.20484E+04    0.42316E+00   -0.96931E+01    0.50087E+07    0.88733E+04
    79    0.20749E+04    0.43723E+00   -0.10223E+02    0.49789E+07    0.87431E+04
    80    0.21016E+04    0.45144E+00   -0.10762E+02    0.49490E+07    0.86134E+04
    81    0.21285E+04    0.46574E+00   -0.11312E+02    0.49191E+07    0.84838E+04
    82    0.21556E+04    0.48015E+00   -0.11872E+02    0.48893E+07    0.83550E+04
    83    0.21829E+04    0.49464E+00   -0.12440E+02    0.48595E+07    0.82278E+04
    84    0.22105E+04    0.50922E+00   -0.13014E+02    0.48298E+07    0.81031E+04
    85    0.22382E+04    0.52385E+00   -0.13596E+02    0.48001E+07    0.79818E+04
    86    0.22662E+04    0.53855E+00   -0.14183E+02    0.47705E+07    0.78644E+04
    87    0.22945E+04    0.55329E+00   -0.14776E+02    0.47410E+07    0.77510E+04
    88    0.23228E+04    0.56807E+00   -0.15374E+02    0.47116E+07    0.76411E+04
    89    0.23515E+04    0.58289E+00   -0.15979E+02    0.46823E+07    0.75344E+04
    90    0.23804E+04    0.59771E+00   -0.16589E+02    0.46531E+07    0.74305E+04
    91    0.24094E+04    0.61252E+00   -0.17204E+02    0.46240E+07    0.73292E+04
    92    0.24388E+04    0.62730E+00   -0.17824E+02    0.45950E+07    0.72304E+04
    93    0.24684E+04    0.64205E+00   -0.18449E+02    0.45662E+07    0.71339E+04
    94    0.24980E+04    0.65674E+00   -0.19077E+02    0.45375E+07    0.70397E+04
    95    0.25280E+04    0.67136E+00   -0.19710E+02    0.45089E+07    0.69477E+04
    96    0.25579E+04    0.68590E+00   -0.20346E+02    0.44804E+07    0.68578E+04
    97    0.25883E+04    0.70034E+00   -0.20984E+02    0.44521E+07    0.67700E+04
    98    0.26189E+04    0.71468E+00   -0.21623E+02    0.44239E+07    0.66841E+04
    99    0.26496E+04    0.72888E+00   -0.22265E+02    0.43958E+07    0.66002E+04
   100    0.26806E+04    0.74294E+00   -0.22906E+02    0.43679E+07    0.65180E+04
   101    0.27117E+04    0.75693E+00   -0.23549E+02    0.43402E+07    0.64375E+04
   102    0.27433E+04    0.77069E+00   -0.24192E+02    0.43126E+07    0.63587E+04
   103    0.27749E+04    0.78430E+00   -0.24836E+02    0.42851E+07    0.62815E+04
   104    0.28066E+04    0.79776E+00   -0.25476E+02    0.42578E+07    0.62057E+04
   105    0.28385E+04    0.81099E+00   -0.26116E+02    0.42307E+07    0.61314E+04
   106    0.28707E+04    0.82407E+00   -0.26754E+02    0.42037E+07    0.60584E+04
   107    0.29027E+04    0.83686E+00   -0.27389E+02    0.41770E+07    0.59866E+04
   108    0.29352E+04    0.84942E+00   -0.28021E+02    0.41503E+07    0.59160E+04
   109    0.29678E+04    0.86169E+00   -0.28649E+02    0.41239E+07    0.58465E+04
   110    0.30004E+04    0.87366E+00   -0.29272E+02    0.40976E+07    0.57780E+04
   111    0.30332E+04    0.88541E+00   -0.29891E+02    0.40715E+07    0.57104E+04
   112    0.30662E+04    0.89686E+00   -0.30505E+02    0.40456E+07    0.56438E+04
   113    0.30994E+04    0.90802E+00   -0.31113E+02    0.40199E+07    0.55781E+04
   114    0.31326E+04    0.91881E+00   -0.31714E+02    0.39943E+07    0.55134E+04
   115    0.31661E+04    0.92939E+00   -0.32308E+02    0.39689E+07    0.54496E+04
   116    0.31996E+04    0.93951E+00   -0.32894E+02    0.39438E+07    0.53867E+04
   117    0.32333E+04    0.94928E+00   -0.33472E+02    0.39188E+07    0.53248E+04
   118    0.32672E+04    0.95882E+00   -0.34041E+02    0.38939E+07    0.52638E+04
   119    0.33011E+04    0.96799E+00   -0.34601E+02    0.38693E+07    0.52038E+04
   120    0.33351E+04    0.97665E+00   -0.35151E+02    0.38448E+07    0.51447E+04
   121    0.33692E+04    0.98509E+00   -0.35691E+02    0.38205E+07    0.50866E+04
   122    0.34032E+04    0.99302E+00   -0.36220E+02    0.37965E+07    0.50295E+04
   123    0.34374E+04    0.10005E+01   -0.36738E+02    0.37725E+07    0.49733E+04
   124    0.34715E+04    0.10076E+01   -0.37242E+02    0.37488E+07    0.49181E+04
   125    0.35057E+04    0.10143E+01   -0.37734E+02    0.37253E+07    0.48639E+04
   126    0.35399E+04    0.10206E+01   -0.38215E+02    0.37019E+07    0.48106E+04
   127    0.35741E+04    0.10264E+01   -0.38682E+02    0.36787E+07    0.47583E+04
   128    0.36083E+04    0.10318E+01   -0.39135E+02    0.36557E+07    0.47069E+04
   129    0.36425E+04    0.10368E+01   -0.39573E+02    0.36329E+07    0.46566E+04
   130    0.36767E+04    0.10412E+01   -0.39996E+02    0.36103E+07    0.46072E+04
   131    0.37109E+04    0.10452E+01   -0.40405E+02    0.35878E+07    0.45588E+04
   132    0.37451E+04    0.10487E+01   -0.40798E+02    0.35655E+07    0.45114E+04
   133    0.37792E+04    0.10518E+01   -0.41175E+02    0.35435E+07    0.44649E+04
   134    0.38133E+04    0.10545E+01   -0.41534E+02    0.35215E+07    0.44192E+04
   135    0.38473E+04    0.10566E+01   -0.41876E+02    0.34998E+07    0.43744E+04
   136    0.38812E+04    0.10583E+01   -0.42199E+02    0.34783E+07    0.43304E+04
   137    0.39151E+04    0.10595E+01   -0.42504E+02    0.34569E+07    0.42872E+04
   138    0.39489E+04    0.10602E+01   -0.42790E+02    0.34357E+07    0.42447E+04
   139    0.39824E+04    0.10605E+01   -0.43056E+02    0.34147E+07    0.42029E+04
   140    0.40160E+04    0.10603E+01   -0.43303E+02    0.33938E+07    0.41618E+04
   141    0.40494E+04    0.10595E+01   -0.43530E+02    0.33731E+07    0.41213E+04
   142    0.40827E+04    0.10583E+01   -0.43736E+02    0.33526E+07    0.40814E+04
   143    0.41160E+04    0.10567E+01   -0.43921E+02    0.33323E+07    0.40421E+04
   144    0.41491E+04    0.10546E+01   -0.44086E+02    0.33121E+07    0.40033E+04
   145    0.41819E+04    0.10521E+01   -0.44228E+02    0.32921E+07    0.39651E+04
   146    0.42149E+04    0.10491E+01   -0.44349E+02    0.32723E+07    0.39272E+04
   147    0.42475E+04    0.10457E+01   -0.44447E+02    0.32526E+07    0.38898E+04
   148    0.42799E+04    0.10418E+01   -0.44523E+02    0.32331E+07    0.38528E+04
   149    0.43122E+04    0.10375E+01   -0.44576E+02    0.32138E+07    0.38162E+04
   150    0.43443E+04    0.10328E+01   -0.44603E+02    0.31946E+07    0.37798E+04
   151    0.43762E+04    0.10277E+01   -0.44609E+02    0.31756E+07    0.37438E+04
   152    0.44078E+04    0.10221E+01   -0.44590E+02    0.31567E+07    0.37080E+04
   153    0.44393E+04    0.10161E+01   -0.44545E+02    0.31380E+07    0.36726E+04
   154    0.44705E+04    0.10098E+01   -0.44476E+02    0.31194E+07    0.36374E+04
   155    0.45015E+04    0.10031E+01   -0.44383E+02    0.31011E+07    0.36026E+04
   156    0.45322E+04    0.99614E+00   -0.44265E+02    0.30828E+07    0.35681E+04
   157    0.45628E+04    0.98879E+00   -0.44121E+02    0.30648E+07    0.35339E+04
   158    0.45930E+04    0.98116E+00   -0.43952E+02    0.30468E+07    0.35000E+04
   159    0.46230E+04    0.97312E+00   -0.43757E+02    0.30291E+07    0.34665E+04
   160    0.46527E+04    0.96480E+00   -0.43536E+02    0.30114E+07    0.34334E+04
   161    0.46822E+04    0.95628E+00   -0.43289E+02    0.29940E+07    0.34005E+04
   162    0.47115E+04    0.94741E+00   -0.43017E+02    0.29766E+07    0.33681E+04
   163    0.47405E+04    0.93828E+00   -0.42718E+02    0.29595E+07    0.33360E+04
   164    0.47691E+04    0.92894E+00   -0.42394E+02    0.29425E+07    0.33042E+04
   165    0.47975E+04    0.91934E+00   -0.42043E+02    0.29256E+07    0.32729E+04
   166    0.48257E+04    0.90961E+00   -0.41665E+02    0.29088E+07    0.32419E+04
   167    0.48536E+04    0.89953E+00   -0.41262E+02    0.28922E+07    0.32113E+04
   168    0.48810E+04    0.88949E+00   -0.40832E+02    0.28758E+07    0.31811E+04
   169    0.49082E+04    0.87917E+00   -0.40374E+02    0.28595E+07    0.31513E+04
   170    0.49350E+04    0.86881E+00   -0.39890E+02    0.28433E+07    0.31219E+04
   171    0.49614E+04    0.85841E+00   -0.39377E+02    0.28273E+07    0.30930E+04
   172    0.49874E+04    0.84788E+00   -0.38838E+02    0.28114E+07    0.30644E+04
   173    0.50129E+04    0.83723E+00   -0.38273E+02    0.27957E+07    0.30363E+04
   174    0.50381E+04    0.82676E+00   -0.37680E+02    0.27801E+07    0.30087E+04
   175    0.50629E+04    0.81617E+00   -0.37060E+02    0.27646E+07    0.29814E+04
   176    0.50872E+04    0.80569E+00   -0.36413E+02    0.27492E+07    0.29546E+04
