#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
     2    0.11648E+04    0.32417E+01    0.14641E-02    0.32417E+01    0.51096E-01   -0.64498E-05    0.14641E-02   -0.64498E-05    0.81171E-08
     3    0.10811E+04    0.41284E+01    0.10276E-02    0.41284E+01    0.84868E-01   -0.56315E-05    0.10276E-02   -0.56315E-05    0.49418E-08
     4    0.10047E+04    0.42866E+01    0.77440E-03    0.42866E+01    0.96821E-01   -0.44349E-05    0.77440E-03   -0.44349E-05    0.34173E-08
     5    0.94610E+03    0.40039E+01    0.60992E-03    0.40039E+01    0.87119E-01   -0.32273E-05    0.60992E-03   -0.32273E-05    0.25394E-08
     6    0.90340E+03    0.35088E+01    0.49537E-03    0.35088E+01    0.65207E-01   -0.21391E-05    0.49537E-03   -0.21391E-05    0.19765E-08
     7    0.87353E+03    0.29468E+01    0.41182E-03    0.29468E+01    0.41909E-01   -0.12326E-05    0.41182E-03   -0.12326E-05    0.15896E-08
     8    0.85321E+03    0.24078E+01    0.34831E-03    0.24078E+01    0.24273E-01   -0.53672E-06    0.34831E-03   -0.53672E-06    0.13101E-08
     9    0.84014E+03    0.19381E+01    0.29836E-03    0.19381E+01    0.14255E-01   -0.54929E-07    0.29836E-03   -0.54929E-07    0.11005E-08
    10    0.83277E+03    0.15643E+01    0.25832E-03    0.15643E+01    0.10179E-01    0.23507E-06    0.25832E-03    0.23507E-06    0.93855E-09
    11    0.82946E+03    0.12975E+01    0.22603E-03    0.12975E+01    0.90991E-02    0.37200E-06    0.22603E-03    0.37200E-06    0.81065E-09
    12    0.83028E+03    0.11398E+01    0.19973E-03    0.11398E+01    0.86882E-02    0.39455E-06    0.19973E-03    0.39455E-06    0.70734E-09
    13    0.83343E+03    0.10703E+01    0.17807E-03    0.10703E+01    0.78914E-02    0.33525E-06    0.17807E-03    0.33525E-06    0.62284E-09
    14    0.83790E+03    0.10624E+01    0.15988E-03    0.10624E+01    0.68141E-02    0.22594E-06    0.15988E-03    0.22594E-06    0.55256E-09
    15    0.84394E+03    0.10975E+01    0.14436E-03    0.10975E+01    0.58927E-02    0.10139E-06    0.14436E-03    0.10139E-06    0.49352E-09
    16    0.85192E+03    0.11596E+01    0.13088E-03    0.11596E+01    0.55012E-02   -0.74988E-08    0.13088E-03   -0.74988E-08    0.44334E-09
    17    0.86172E+03    0.12327E+01    0.11915E-03    0.12327E+01    0.56542E-02   -0.88199E-07    0.11915E-03   -0.88199E-07    0.40037E-09
    18    0.87237E+03    0.13041E+01    0.10895E-03    0.13041E+01    0.60744E-02   -0.13541E-06    0.10895E-03   -0.13541E-06    0.36324E-09
    19    0.88469E+03    0.13666E+01    0.10002E-03    0.13666E+01    0.65268E-02   -0.15428E-06    0.10002E-03   -0.15428E-06    0.33094E-09
    20    0.89699E+03    0.14142E+01    0.92090E-04    0.14142E+01    0.68980E-02   -0.15164E-06    0.92090E-04   -0.15164E-06    0.30262E-09
    21    0.90962E+03    0.14517E+01    0.85009E-04    0.14517E+01    0.72499E-02   -0.13045E-06    0.85009E-04   -0.13045E-06    0.27768E-09
    22    0.92282E+03    0.14850E+01    0.78650E-04    0.14850E+01    0.77615E-02   -0.94410E-07    0.78650E-04   -0.94410E-07    0.25560E-09
    23    0.93642E+03    0.15161E+01    0.72936E-04    0.15161E+01    0.85436E-02   -0.53755E-07    0.72936E-04   -0.53755E-07    0.23596E-09
    24    0.95049E+03    0.15467E+01    0.67806E-04    0.15467E+01    0.96364E-02   -0.19187E-07    0.67806E-04   -0.19187E-07    0.21840E-09
    25    0.96494E+03    0.15800E+01    0.63191E-04    0.15800E+01    0.11036E-01    0.34254E-08    0.63191E-04    0.34254E-08    0.20264E-09
