#    L    TT             EE             BB             TE          
     2    0.11648E+04    0.51096E-01    0.00000E+00    0.32417E+01
     3    0.10811E+04    0.84868E-01    0.00000E+00    0.41284E+01
     4    0.10047E+04    0.96821E-01    0.00000E+00    0.42866E+01
     5    0.94610E+03    0.87119E-01    0.00000E+00    0.40039E+01
     6    0.90340E+03    0.65207E-01    0.00000E+00    0.35088E+01
     7    0.87353E+03    0.41909E-01    0.00000E+00    0.29468E+01
     8    0.85321E+03    0.24273E-01    0.00000E+00    0.24078E+01
     9    0.84014E+03    0.14255E-01    0.00000E+00    0.19381E+01
    10    0.83277E+03    0.10179E-01    0.00000E+00    0.15643E+01
    11    0.82946E+03    0.90991E-02    0.00000E+00    0.12975E+01
    12    0.83028E+03    0.86882E-02    0.00000E+00    0.11398E+01
    13    0.83343E+03    0.78914E-02    0.00000E+00    0.10703E+01
    14    0.83790E+03    0.68141E-02    0.00000E+00    0.10624E+01
    15    0.84394E+03    0.58927E-02    0.00000E+00    0.10975E+01
    16    0.85192E+03    0.55012E-02    0.00000E+00    0.11596E+01
    17    0.86172E+03    0.56542E-02    0.00000E+00    0.12327E+01
    18    0.87237E+03    0.60744E-02    0.00000E+00    0.13041E+01
    19    0.88469E+03    0.65268E-02    0.00000E+00    0.13666E+01
    20    0.89699E+03    0.68980E-02    0.00000E+00    0.14142E+01
    21    0.90962E+03    0.72499E-02    0.00000E+00    0.14517E+01
    22    0.92282E+03    0.77615E-02    0.00000E+00    0.14850E+01
    23    0.93642E+03    0.85436E-02    0.00000E+00    0.15161E+01
    24    0.95049E+03    0.96364E-02    0.00000E+00    0.15467E+01
    25    0.96494E+03    0.11036E-01    0.00000E+00    0.15800E+01
    26    0.97959E+03    0.12686E-01    0.00000E+00    0.16195E+01
    27    0.99466E+03    0.14527E-01    0.00000E+00    0.16631E+01
    28    0.10100E+04    0.16540E-01    0.00000E+00    0.17085E+01
    29    0.10257E+04    0.18744E-01    0.00000E+00    0.17538E+01
    30    0.10416E+04    0.21168E-01    0.00000E+00    0.17955E+01
    31    0.10577E+04    0.23780E-01    0.00000E+00    0.18303E+01
    32    0.10741E+04    0.26538E-01    0.00000E+00    0.18549E+01
    33    0.10909E+04    0.29438E-01    0.00000E+00    0.18657E+01
    34    0.11079E+04    0.32499E-01    0.00000E+00    0.18614E+01
    35    0.11250E+04    0.35752E-01    0.00000E+00    0.18463E+01
    36    0.11423E+04    0.39229E-01    0.00000E+00    0.18233E+01
    37    0.11596E+04    0.42941E-01    0.00000E+00    0.17882E+01
    38    0.11774E+04    0.46901E-01    0.00000E+00    0.17384E+01
    39    0.11955E+04    0.51118E-01    0.00000E+00    0.16774E+01
    40    0.12138E+04    0.55608E-01    0.00000E+00    0.16100E+01
    41    0.12323E+04    0.60386E-01    0.00000E+00    0.15396E+01
    42    0.12508E+04    0.65451E-01    0.00000E+00    0.14635E+01
    43    0.12694E+04    0.70796E-01    0.00000E+00    0.13779E+01
    44    0.12880E+04    0.76401E-01    0.00000E+00    0.12799E+01
    45    0.13070E+04    0.82255E-01    0.00000E+00    0.11665E+01
    46    0.13263E+04    0.88353E-01    0.00000E+00    0.10338E+01
    47    0.13457E+04    0.94699E-01    0.00000E+00    0.88404E+00
    48    0.13652E+04    0.10131E+00    0.00000E+00    0.72339E+00
    49    0.13848E+04    0.10817E+00    0.00000E+00    0.55754E+00
    50    0.14049E+04    0.11527E+00    0.00000E+00    0.38540E+00
    51    0.14251E+04    0.12259E+00    0.00000E+00    0.20389E+00
    52    0.14457E+04    0.13020E+00    0.00000E+00    0.76899E-02
    53    0.14664E+04    0.13824E+00    0.00000E+00   -0.20722E+00
    54    0.14869E+04    0.14670E+00    0.00000E+00   -0.43689E+00
    55    0.15076E+04    0.15554E+00    0.00000E+00   -0.67726E+00
    56    0.15287E+04    0.16461E+00    0.00000E+00   -0.93031E+00
    57    0.15500E+04    0.17381E+00    0.00000E+00   -0.11959E+01
    58    0.15717E+04    0.18317E+00    0.00000E+00   -0.14745E+01
    59    0.15935E+04    0.19272E+00    0.00000E+00   -0.17667E+01
    60    0.16154E+04    0.20253E+00    0.00000E+00   -0.20717E+01
    61    0.16378E+04    0.21271E+00    0.00000E+00   -0.23884E+01
    62    0.16601E+04    0.22322E+00    0.00000E+00   -0.27181E+01
    63    0.16826E+04    0.23404E+00    0.00000E+00   -0.30620E+01
    64    0.17054E+04    0.24515E+00    0.00000E+00   -0.34216E+01
    65    0.17282E+04    0.25654E+00    0.00000E+00   -0.37979E+01
    66    0.17514E+04    0.26811E+00    0.00000E+00   -0.41891E+01
    67    0.17748E+04    0.27989E+00    0.00000E+00   -0.45921E+01
    68    0.17985E+04    0.29190E+00    0.00000E+00   -0.50047E+01
    69    0.18225E+04    0.30412E+00    0.00000E+00   -0.54244E+01
    70    0.18468E+04    0.31658E+00    0.00000E+00   -0.58524E+01
    71    0.18712E+04    0.32928E+00    0.00000E+00   -0.62907E+01
    72    0.18958E+04    0.34218E+00    0.00000E+00   -0.67409E+01
    73    0.19205E+04    0.35526E+00    0.00000E+00   -0.72039E+01
    74    0.19455E+04    0.36850E+00    0.00000E+00   -0.76793E+01
    75    0.19708E+04    0.38191E+00    0.00000E+00   -0.81660E+01
    76    0.19963E+04    0.39549E+00    0.00000E+00   -0.86636E+01
    77    0.20222E+04    0.40923E+00    0.00000E+00   -0.91722E+01
    78    0.20484E+04    0.42316E+00    0.00000E+00   -0.96931E+01
    79    0.20749E+04    0.43723E+00    0.00000E+00   -0.10223E+02
    80    0.21016E+04    0.45144E+00    0.00000E+00   -0.10762E+02
    81    0.21285E+04    0.46574E+00    0.00000E+00   -0.11312E+02
    82    0.21556E+04    0.48015E+00    0.00000E+00   -0.11872E+02
    83    0.21829E+04    0.49464E+00    0.00000E+00   -0.12440E+02
    84    0.22105E+04    0.50922E+00    0.00000E+00   -0.13014E+02
    85    0.22382E+04    0.52385E+00    0.00000E+00   -0.13596E+02
    86    0.22662E+04    0.53855E+00    0.00000E+00   -0.14183E+02
    87    0.22945E+04    0.55329E+00    0.00000E+00   -0.14776E+02
    88    0.23228E+04    0.56807E+00    0.00000E+00   -0.15374E+02
    89    0.23515E+04    0.58289E+00    0.00000E+00   -0.15979E+02
    90    0.23804E+04    0.59771E+00    0.00000E+00   -0.16589E+02
    91    0.24094E+04    0.61252E+00    0.00000E+00   -0.17204E+02
    92    0.24388E+04    0.62730E+00    0.00000E+00   -0.17824E+02
    93    0.24684E+04    0.64205E+00    0.00000E+00   -0.18449E+02
    94    0.24980E+04    0.65674E+00    0.00000E+00   -0.19077E+02
    95    0.25280E+04    0.67136E+00    0.00000E+00   -0.19710E+02
    96    0.25579E+04    0.68590E+00    0.00000E+00   -0.20346E+02
    97    0.25883E+04    0.70034E+00    0.00000E+00   -0.20984E+02
    98    0.26189E+04    0.71468E+00    0.00000E+00   -0.21623E+02
    99    0.26496E+04    0.72888E+00    0.00000E+00   -0.22265E+02
   100    0.26806E+04    0.74294E+00    0.00000E+00   -0.22906E+02
   101    0.27117E+04    0.75693E+00    0.00000E+00   -0.23549E+02
   102    0.27433E+04    0.77069E+00    0.00000E+00   -0.24192E+02
   103    0.27749E+04    0.78430E+00    0.00000E+00   -0.24836E+02
   104    0.28066E+04    0.79776E+00    0.00000E+00   -0.25476E+02
   105    0.28385E+04    0.81099E+00    0.00000E+00   -0.26116E+02
   106    0.28707E+04    0.82407E+00    0.00000E+00   -0.26754E+02
   107    0.29027E+04    0.83686E+00    0.00000E+00   -0.27389E+02
   108    0.29352E+04    0.84942E+00    0.00000E+00   -0.28021E+02
   109    0.29678E+04    0.86169E+00    0.00000E+00   -0.28649E+02
   110    0.30004E+04    0.87366E+00    0.00000E+00   -0.29272E+02
   111    0.30332E+04    0.88541E+00    0.00000E+00   -0.29891E+02
   112    0.30662E+04    0.89686E+00    0.00000E+00   -0.30505E+02
   113    0.30994E+04    0.90802E+00    0.00000E+00   -0.31113E+02
   114    0.31326E+04    0.91881E+00    0.00000E+00   -0.31714E+02
   115    0.31661E+04    0.92939E+00    0.00000E+00   -0.32308E+02
   116    0.31996E+04    0.93951E+00    0.00000E+00   -0.32894E+02
   117    0.32333E+04    0.94928E+00    0.00000E+00   -0.33472E+02
   118    0.32672E+04    0.95882E+00    0.00000E+00   -0.34041E+02
   119    0.33011E+04    0.96799E+00    0.00000E+00   -0.34601E+02
   120    0.33351E+04    0.97665E+00    0.00000E+00   -0.35151E+02
   121    0.33692E+04    0.98509E+00    0.00000E+00   -0.35691E+02
   122    0.34032E+04    0.99302E+00    0.00000E+00   -0.36220E+02
   123    0.34374E+04    0.10005E+01    0.00000E+00   -0.36738E+02
   124    0.34715E+04    0.10076E+01    0.00000E+00   -0.37242E+02
   125    0.35057E+04    0.10143E+01    0.00000E+00   -0.37734E+02
   126    0.35399E+04    0.10206E+01    0.00000E+00   -0.38215E+02
   127    0.35741E+04    0.10264E+01    0.00000E+00   -0.38682E+02
   128    0.36083E+04    0.10318E+01    0.00000E+00   -0.39135E+02
   129    0.36425E+04    0.10368E+01    0.00000E+00   -0.39573E+02
   130    0.36767E+04    0.10412E+01    0.00000E+00   -0.39996E+02
   131    0.37109E+04    0.10452E+01    0.00000E+00   -0.40405E+02
   132    0.37451E+04    0.10487E+01    0.00000E+00   -0.40798E+02
   133    0.37792E+04    0.10518E+01    0.00000E+00   -0.41175E+02
   134    0.38133E+04    0.10545E+01    0.00000E+00   -0.41534E+02
   135    0.38473E+04    0.10566E+01    0.00000E+00   -0.41876E+02
   136    0.38812E+04    0.10583E+01    0.00000E+00   -0.42199E+02
   137    0.39151E+04    0.10595E+01    0.00000E+00   -0.42504E+02
   138    0.39489E+04    0.10602E+01    0.00000E+00   -0.42790E+02
   139    0.39824E+04    0.10605E+01    0.00000E+00   -0.43056E+02
   140    0.40160E+04    0.10603E+01    0.00000E+00   -0.43303E+02
   141    0.40494E+04    0.10595E+01    0.00000E+00   -0.43530E+02
   142    0.40827E+04    0.10583E+01    0.00000E+00   -0.43736E+02
   143    0.41160E+04    0.10567E+01    0.00000E+00   -0.43921E+02
   144    0.41491E+04    0.10546E+01    0.00000E+00   -0.44086E+02
   145    0.41819E+04    0.10521E+01    0.00000E+00   -0.44228E+02
   146    0.42149E+04    0.10491E+01    0.00000E+00   -0.44349E+02
   147    0.42475E+04    0.10457E+01    0.00000E+00   -0.44447E+02
   148    0.42799E+04    0.10418E+01    0.00000E+00   -0.44523E+02
   149    0.43122E+04    0.10375E+01    0.00000E+00   -0.44576E+02
   150    0.43443E+04    0.10328E+01    0.00000E+00   -0.44603E+02
   151    0.43762E+04    0.10277E+01    0.00000E+00   -0.44609E+02
   152    0.44078E+04    0.10221E+01    0.00000E+00   -0.44590E+02
   153    0.44393E+04    0.10161E+01    0.00000E+00   -0.44545E+02
   154    0.44705E+04    0.10098E+01    0.00000E+00   -0.44476E+02
   155    0.45015E+04    0.10031E+01    0.00000E+00   -0.44383E+02
   156    0.45322E+04    0.99614E+00    0.00000E+00   -0.44265E+02
   157    0.45628E+04    0.98879E+00    0.00000E+00   -0.44121E+02
   158    0.45930E+04    0.98116E+00    0.00000E+00   -0.43952E+02
   159    0.46230E+04    0.97312E+00    0.00000E+00   -0.43757E+02
   160    0.46527E+04    0.96480E+00    0.00000E+00   -0.43536E+02
   161    0.46822E+04    0.95628E+00    0.00000E+00   -0.43289E+02
   162    0.47115E+04    0.94741E+00    0.00000E+00   -0.43017E+02
   163    0.47405E+04    0.93828E+00    0.00000E+00   -0.42718E+02
   164    0.47691E+04    0.92894E+00    0.00000E+00   -0.42394E+02
