#          k/h    CDM            baryon         photon         nu             mass_nu        total          no_nu          total_de       Weyl           v_CDM          v_b            v_b-v_c     
   0.977830E-05   0.203928E+08   0.203928E+08   0.271762E+08   0.271758E+08   0.000000E+00   0.203928E+08   0.203928E+08   0.204014E+08  -0.453869E+00   0.973476E+07   0.973476E+07   0.619747E+01
   0.107972E-04   0.203928E+08   0.203928E+08   0.271730E+08   0.271725E+08   0.000000E+00   0.203928E+08   0.203928E+08   0.204013E+08  -0.453868E+00   0.973475E+07   0.973475E+07   0.684305E+01
   0.119223E-04   0.203928E+08   0.203928E+08   0.271692E+08   0.271686E+08   0.000000E+00   0.203928E+08   0.203928E+08   0.204013E+08  -0.453868E+00   0.973475E+07   0.973475E+07   0.755582E+01
   0.131646E-04   0.203928E+08   0.203928E+08   0.271646E+08   0.271638E+08   0.000000E+00   0.203928E+08   0.203928E+08   0.204013E+08  -0.453868E+00   0.973474E+07   0.973474E+07   0.834277E+01
   0.145364E-04   0.203928E+08   0.203928E+08   0.271589E+08   0.271580E+08   0.000000E+00   0.203928E+08   0.203928E+08   0.204013E+08  -0.453867E+00   0.973474E+07   0.973474E+07   0.921160E+01
   0.160511E-04   0.203928E+08   0.203928E+08   0.271520E+08   0.271508E+08   0.000000E+00   0.203928E+08   0.203928E+08   0.204013E+08  -0.453867E+00   0.973473E+07   0.973473E+07   0.101708E+02
   0.177236E-04   0.203927E+08   0.203927E+08   0.271435E+08   0.271422E+08   0.000000E+00   0.203927E+08   0.203927E+08   0.204013E+08  -0.453867E+00   0.973472E+07   0.973472E+07   0.112297E+02
   0.195704E-04   0.203927E+08   0.203927E+08   0.271333E+08   0.271316E+08   0.000000E+00   0.203927E+08   0.203927E+08   0.204012E+08  -0.453866E+00   0.973471E+07   0.973471E+07   0.123986E+02
   0.216096E-04   0.203927E+08   0.203927E+08   0.271207E+08   0.271187E+08   0.000000E+00   0.203927E+08   0.203927E+08   0.204012E+08  -0.453865E+00   0.973470E+07   0.973470E+07   0.136889E+02
   0.238614E-04   0.203927E+08   0.203927E+08   0.271055E+08   0.271030E+08   0.000000E+00   0.203927E+08   0.203927E+08   0.204012E+08  -0.453864E+00   0.973468E+07   0.973468E+07   0.151131E+02
   0.263478E-04   0.203926E+08   0.203926E+08   0.270869E+08   0.270838E+08   0.000000E+00   0.203926E+08   0.203926E+08   0.204011E+08  -0.453863E+00   0.973467E+07   0.973466E+07   0.166849E+02
   0.290932E-04   0.203926E+08   0.203926E+08   0.270642E+08   0.270605E+08   0.000000E+00   0.203926E+08   0.203926E+08   0.204011E+08  -0.453862E+00   0.973464E+07   0.973464E+07   0.184195E+02
   0.321247E-04   0.203925E+08   0.203925E+08   0.270366E+08   0.270321E+08   0.000000E+00   0.203925E+08   0.203925E+08   0.204010E+08  -0.453860E+00   0.973461E+07   0.973461E+07   0.203335E+02
   0.354722E-04   0.203924E+08   0.203924E+08   0.270030E+08   0.269975E+08   0.000000E+00   0.203924E+08   0.203924E+08   0.204009E+08  -0.453858E+00   0.973458E+07   0.973458E+07   0.224450E+02
   0.391684E-04   0.203924E+08   0.203924E+08   0.269620E+08   0.269554E+08   0.000000E+00   0.203924E+08   0.203924E+08   0.204008E+08  -0.453856E+00   0.973454E+07   0.973453E+07   0.247740E+02
   0.432498E-04   0.203923E+08   0.203922E+08   0.269121E+08   0.269041E+08   0.000000E+00   0.203923E+08   0.203923E+08   0.204007E+08  -0.453853E+00   0.973449E+07   0.973448E+07   0.273424E+02
   0.477564E-04   0.203921E+08   0.203921E+08   0.268515E+08   0.268416E+08   0.000000E+00   0.203921E+08   0.203921E+08   0.204006E+08  -0.453849E+00   0.973442E+07   0.973442E+07   0.301739E+02
   0.527327E-04   0.203920E+08   0.203920E+08   0.267777E+08   0.267657E+08   0.000000E+00   0.203920E+08   0.203920E+08   0.204004E+08  -0.453844E+00   0.973435E+07   0.973434E+07   0.332943E+02
   0.582275E-04   0.203918E+08   0.203918E+08   0.266879E+08   0.266734E+08   0.000000E+00   0.203918E+08   0.203918E+08   0.204002E+08  -0.453839E+00   0.973425E+07   0.973425E+07   0.367317E+02
   0.642948E-04   0.203916E+08   0.203915E+08   0.265789E+08   0.265612E+08   0.000000E+00   0.203915E+08   0.203915E+08   0.203999E+08  -0.453832E+00   0.973414E+07   0.973413E+07   0.405164E+02
   0.709944E-04   0.203913E+08   0.203912E+08   0.264465E+08   0.264250E+08   0.000000E+00   0.203913E+08   0.203913E+08   0.203996E+08  -0.453824E+00   0.973400E+07   0.973399E+07   0.446806E+02
   0.783921E-04   0.203909E+08   0.203909E+08   0.262858E+08   0.262598E+08   0.000000E+00   0.203909E+08   0.203909E+08   0.203992E+08  -0.453814E+00   0.973383E+07   0.973382E+07   0.492590E+02
   0.865606E-04   0.203905E+08   0.203904E+08   0.260912E+08   0.260596E+08   0.000000E+00   0.203905E+08   0.203905E+08   0.203987E+08  -0.453802E+00   0.973363E+07   0.973361E+07   0.542879E+02
   0.955802E-04   0.203900E+08   0.203899E+08   0.258557E+08   0.258174E+08   0.000000E+00   0.203900E+08   0.203900E+08   0.203981E+08  -0.453788E+00   0.973338E+07   0.973336E+07   0.598052E+02
   0.105540E-03   0.203894E+08   0.203893E+08   0.255712E+08   0.255249E+08   0.000000E+00   0.203894E+08   0.203894E+08   0.203974E+08  -0.453770E+00   0.973307E+07   0.973305E+07   0.658499E+02
   0.116537E-03   0.203886E+08   0.203885E+08   0.252282E+08   0.251723E+08   0.000000E+00   0.203886E+08   0.203886E+08   0.203965E+08  -0.453748E+00   0.973270E+07   0.973268E+07   0.724608E+02
   0.128680E-03   0.203877E+08   0.203876E+08   0.248156E+08   0.247484E+08   0.000000E+00   0.203877E+08   0.203877E+08   0.203954E+08  -0.453722E+00   0.973225E+07   0.973222E+07   0.796756E+02
   0.142089E-03   0.203866E+08   0.203864E+08   0.243210E+08   0.242404E+08   0.000000E+00   0.203865E+08   0.203865E+08   0.203942E+08  -0.453690E+00   0.973170E+07   0.973167E+07   0.875290E+02
   0.156895E-03   0.203852E+08   0.203850E+08   0.237302E+08   0.236338E+08   0.000000E+00   0.203852E+08   0.203852E+08   0.203926E+08  -0.453651E+00   0.973104E+07   0.973099E+07   0.960502E+02
   0.173243E-03   0.203835E+08   0.203833E+08   0.230277E+08   0.229128E+08   0.000000E+00   0.203835E+08   0.203835E+08   0.203907E+08  -0.453604E+00   0.973023E+07   0.973017E+07   0.105260E+03
   0.191295E-03   0.203815E+08   0.203813E+08   0.221970E+08   0.220609E+08   0.000000E+00   0.203815E+08   0.203815E+08   0.203884E+08  -0.453548E+00   0.972924E+07   0.972918E+07   0.115166E+03
   0.211228E-03   0.203791E+08   0.203788E+08   0.212216E+08   0.210614E+08   0.000000E+00   0.203790E+08   0.203790E+08   0.203856E+08  -0.453479E+00   0.972805E+07   0.972797E+07   0.125757E+03
   0.233239E-03   0.203761E+08   0.203757E+08   0.200858E+08   0.198986E+08   0.000000E+00   0.203760E+08   0.203760E+08   0.203823E+08  -0.453397E+00   0.972660E+07   0.972650E+07   0.136998E+03
   0.257542E-03   0.203725E+08   0.203720E+08   0.187770E+08   0.185606E+08   0.000000E+00   0.203724E+08   0.203724E+08   0.203783E+08  -0.453298E+00   0.972484E+07   0.972473E+07   0.148820E+03
   0.284378E-03   0.203681E+08   0.203676E+08   0.172884E+08   0.170410E+08   0.000000E+00   0.203681E+08   0.203681E+08   0.203735E+08  -0.453179E+00   0.972272E+07   0.972258E+07   0.161112E+03
   0.314011E-03   0.203629E+08   0.203622E+08   0.156222E+08   0.153436E+08   0.000000E+00   0.203628E+08   0.203628E+08   0.203677E+08  -0.453037E+00   0.972016E+07   0.972000E+07   0.173710E+03
   0.346731E-03   0.203566E+08   0.203558E+08   0.137942E+08   0.134862E+08   0.000000E+00   0.203565E+08   0.203565E+08   0.203607E+08  -0.452868E+00   0.971708E+07   0.971688E+07   0.186387E+03
   0.382861E-03   0.203490E+08   0.203481E+08   0.118385E+08   0.115058E+08   0.000000E+00   0.203488E+08   0.203488E+08   0.203525E+08  -0.452667E+00   0.971337E+07   0.971314E+07   0.198847E+03
   0.422755E-03   0.203399E+08   0.203388E+08   0.981183E+07   0.946259E+07   0.000000E+00   0.203397E+08   0.203397E+08   0.203427E+08  -0.452431E+00   0.970893E+07   0.970866E+07   0.210719E+03
   0.466806E-03   0.203290E+08   0.203277E+08   0.779491E+07   0.744153E+07   0.000000E+00   0.203288E+08   0.203288E+08   0.203312E+08  -0.452153E+00   0.970362E+07   0.970331E+07   0.221564E+03
   0.515448E-03   0.203161E+08   0.203145E+08   0.589016E+07   0.554897E+07   0.000000E+00   0.203158E+08   0.203158E+08   0.203176E+08  -0.451828E+00   0.969731E+07   0.969695E+07   0.230889E+03
   0.569158E-03   0.203007E+08   0.202989E+08   0.421081E+07   0.390084E+07   0.000000E+00   0.203004E+08   0.203004E+08   0.203017E+08  -0.451451E+00   0.968982E+07   0.968942E+07   0.238178E+03
   0.628465E-03   0.202826E+08   0.202805E+08   0.286032E+07   0.260048E+07   0.000000E+00   0.202822E+08   0.202822E+08   0.202831E+08  -0.451015E+00   0.968100E+07   0.968054E+07   0.242945E+03
   0.693951E-03   0.202613E+08   0.202589E+08   0.190264E+07   0.170730E+07   0.000000E+00   0.202609E+08   0.202609E+08   0.202614E+08  -0.450512E+00   0.967063E+07   0.967012E+07   0.244791E+03
   0.766261E-03   0.202363E+08   0.202336E+08   0.133118E+07   0.120486E+07   0.000000E+00   0.202359E+08   0.202359E+08   0.202363E+08  -0.449933E+00   0.965852E+07   0.965796E+07   0.243467E+03
   0.846106E-03   0.202072E+08   0.202042E+08   0.105299E+07   0.986398E+06   0.000000E+00   0.202067E+08   0.202067E+08   0.202070E+08  -0.449268E+00   0.964444E+07   0.964383E+07   0.238919E+03
   0.934271E-03   0.201734E+08   0.201701E+08   0.910503E+06   0.880906E+06   0.000000E+00   0.201729E+08   0.201729E+08   0.201732E+08  -0.448505E+00   0.962813E+07   0.962748E+07   0.231284E+03
   0.103162E-02   0.201344E+08   0.201307E+08   0.751505E+06   0.730108E+06   0.000000E+00   0.201338E+08   0.201338E+08   0.201340E+08  -0.447627E+00   0.960932E+07   0.960864E+07   0.220851E+03
   0.113912E-02   0.200893E+08   0.200855E+08   0.520036E+06   0.484828E+06   0.000000E+00   0.200887E+08   0.200887E+08   0.200888E+08  -0.446618E+00   0.958769E+07   0.958698E+07   0.207993E+03
   0.125782E-02   0.200376E+08   0.200335E+08   0.290651E+06   0.237030E+06   0.000000E+00   0.200369E+08   0.200369E+08   0.200370E+08  -0.445460E+00   0.956288E+07   0.956215E+07   0.193136E+03
   0.138888E-02   0.199783E+08   0.199741E+08   0.174727E+06   0.113901E+06   0.000000E+00   0.199776E+08   0.199776E+08   0.199776E+08  -0.444136E+00   0.953448E+07   0.953374E+07   0.176815E+03
   0.153360E-02   0.199105E+08   0.199062E+08   0.162405E+06  -0.305016E+06   0.000000E+00   0.199098E+08   0.199098E+08   0.199098E+08  -0.442624E+00   0.950210E+07   0.950136E+07   0.159754E+03
   0.169341E-02   0.198334E+08   0.198291E+08   0.124047E+06  -0.249179E+06   0.000000E+00   0.198327E+08   0.198327E+08   0.198326E+08  -0.440906E+00   0.946521E+07   0.946448E+07   0.142827E+03
   0.186986E-02   0.197457E+08   0.197414E+08   0.328033E+05  -0.203454E+06   0.000000E+00   0.197450E+08   0.197450E+08   0.197450E+08  -0.438955E+00   0.942333E+07   0.942262E+07   0.126880E+03
   0.206470E-02   0.196465E+08   0.196422E+08   0.908181E+04  -0.166020E+06   0.000000E+00   0.196458E+08   0.196458E+08   0.196457E+08  -0.436747E+00   0.937591E+07   0.937521E+07   0.112563E+03
   0.227984E-02   0.195344E+08   0.195301E+08   0.269929E+05  -0.135382E+06   0.000000E+00   0.195337E+08   0.195337E+08   0.195337E+08  -0.434254E+00   0.932238E+07   0.932169E+07   0.100303E+03
   0.251741E-02   0.194082E+08   0.194038E+08  -0.768412E+04  -0.110316E+06   0.000000E+00   0.194075E+08   0.194075E+08   0.194075E+08  -0.431448E+00   0.926213E+07   0.926145E+07   0.901642E+02
   0.277972E-02   0.192667E+08   0.192620E+08  -0.528194E+04  -0.898152E+05   0.000000E+00   0.192659E+08   0.192659E+08   0.192659E+08  -0.428299E+00   0.919452E+07   0.919384E+07   0.817304E+02
   0.306937E-02   0.191083E+08   0.191035E+08  -0.119334E+05  -0.730566E+05   0.000000E+00   0.191075E+08   0.191075E+08   0.191075E+08  -0.424777E+00   0.911891E+07   0.911823E+07   0.743349E+02
   0.338920E-02   0.189318E+08   0.189267E+08  -0.153879E+05  -0.593642E+05   0.000000E+00   0.189309E+08   0.189309E+08   0.189309E+08  -0.420851E+00   0.903464E+07   0.903395E+07   0.673527E+02
   0.374236E-02   0.187357E+08   0.187303E+08  -0.213367E+05  -0.481836E+05   0.000000E+00   0.187348E+08   0.187348E+08   0.187348E+08  -0.416491E+00   0.894102E+07   0.894034E+07   0.605613E+02
   0.413232E-02   0.185186E+08   0.185128E+08  -0.981725E+04  -0.390601E+05   0.000000E+00   0.185176E+08   0.185176E+08   0.185176E+08  -0.411662E+00   0.883736E+07   0.883669E+07   0.542094E+02
   0.456291E-02   0.182790E+08   0.182728E+08  -0.109811E+05  -0.316210E+05   0.000000E+00   0.182779E+08   0.182779E+08   0.182779E+08  -0.406334E+00   0.872296E+07   0.872230E+07   0.486663E+02
   0.503836E-02   0.180154E+08   0.180087E+08  -0.129977E+05  -0.255603E+05   0.000000E+00   0.180143E+08   0.180143E+08   0.180143E+08  -0.400472E+00   0.859713E+07   0.859646E+07   0.439259E+02
   0.556337E-02   0.177265E+08   0.177191E+08  -0.909279E+04  -0.206273E+05   0.000000E+00   0.177252E+08   0.177252E+08   0.177252E+08  -0.394046E+00   0.845917E+07   0.845851E+07   0.396121E+02
   0.614307E-02   0.174107E+08   0.174026E+08  -0.878589E+04  -0.166163E+05   0.000000E+00   0.174094E+08   0.174094E+08   0.174094E+08  -0.387024E+00   0.830843E+07   0.830777E+07   0.355500E+02
   0.678319E-02   0.170668E+08   0.170578E+08  -0.663224E+04  -0.133588E+05   0.000000E+00   0.170653E+08   0.170653E+08   0.170653E+08  -0.379374E+00   0.814421E+07   0.814356E+07   0.319587E+02
   0.749000E-02   0.166932E+08   0.166832E+08  -0.669989E+04  -0.107165E+05   0.000000E+00   0.166916E+08   0.166916E+08   0.166915E+08  -0.371066E+00   0.796585E+07   0.796520E+07   0.288305E+02
   0.827046E-02   0.162887E+08   0.162774E+08  -0.526365E+04  -0.857625E+04   0.000000E+00   0.162868E+08   0.162868E+08   0.162868E+08  -0.362069E+00   0.777271E+07   0.777206E+07   0.259483E+02
   0.913225E-02   0.158519E+08   0.158391E+08  -0.406678E+04  -0.684523E+04   0.000000E+00   0.158498E+08   0.158498E+08   0.158498E+08  -0.352353E+00   0.756413E+07   0.756349E+07   0.234011E+02
   0.100838E-01   0.153816E+08   0.153669E+08  -0.362699E+04  -0.544753E+04   0.000000E+00   0.153791E+08   0.153791E+08   0.153791E+08  -0.341890E+00   0.733951E+07   0.733887E+07   0.211367E+02
   0.111346E-01   0.148764E+08   0.148596E+08  -0.317540E+04  -0.432104E+04   0.000000E+00   0.148736E+08   0.148736E+08   0.148736E+08  -0.330651E+00   0.709824E+07   0.709761E+07   0.191073E+02
   0.122948E-01   0.143352E+08   0.143161E+08  -0.235918E+04  -0.341496E+04   0.000000E+00   0.143320E+08   0.143320E+08   0.143320E+08  -0.318612E+00   0.683981E+07   0.683917E+07   0.173111E+02
   0.135759E-01   0.137573E+08   0.137354E+08  -0.212901E+04  -0.268783E+04   0.000000E+00   0.137537E+08   0.137537E+08   0.137537E+08  -0.305755E+00   0.656380E+07   0.656316E+07   0.157103E+02
   0.149906E-01   0.131422E+08   0.131172E+08  -0.155712E+04  -0.210581E+04   0.000000E+00   0.131381E+08   0.131381E+08   0.131381E+08  -0.292069E+00   0.627000E+07   0.626936E+07   0.142762E+02
   0.165526E-01   0.125107E+08   0.124822E+08  -0.123548E+04  -0.164403E+04   0.000000E+00   0.125059E+08   0.125059E+08   0.125059E+08  -0.278016E+00   0.596833E+07   0.596768E+07   0.130094E+02
   0.182774E-01   0.118261E+08   0.117939E+08  -0.107529E+04  -0.127451E+04   0.000000E+00   0.118207E+08   0.118207E+08   0.118207E+08  -0.262783E+00   0.564132E+07   0.564067E+07   0.118478E+02
   0.201819E-01   0.111090E+08   0.110730E+08  -0.654182E+03  -0.981857E+03   0.000000E+00   0.111030E+08   0.111030E+08   0.111030E+08  -0.246828E+00   0.529880E+07   0.529815E+07   0.107796E+02
   0.222849E-01   0.103499E+08   0.103100E+08  -0.614288E+03  -0.750193E+03   0.000000E+00   0.103433E+08   0.103433E+08   0.103433E+08  -0.229938E+00   0.493623E+07   0.493558E+07   0.977302E+01
   0.246070E-01   0.958368E+07   0.954015E+07  -0.449239E+03  -0.569675E+03   0.000000E+00   0.957643E+07   0.957643E+07   0.957643E+07  -0.212891E+00   0.457028E+07   0.456963E+07   0.881582E+01
   0.271710E-01   0.881772E+07   0.877117E+07  -0.332930E+03  -0.429839E+03   0.000000E+00   0.880996E+07   0.880996E+07   0.880996E+07  -0.195852E+00   0.420450E+07   0.420386E+07   0.788152E+01
   0.300023E-01   0.805151E+07   0.800294E+07  -0.269460E+03  -0.321870E+03   0.000000E+00   0.804341E+07   0.804341E+07   0.804341E+07  -0.178811E+00   0.383867E+07   0.383805E+07   0.694572E+01
   0.331285E-01   0.730744E+07   0.725834E+07  -0.181068E+03  -0.239567E+03   0.000000E+00   0.729926E+07   0.729926E+07   0.729926E+07  -0.162268E+00   0.348353E+07   0.348294E+07   0.599918E+01
   0.365806E-01   0.661363E+07   0.656591E+07  -0.148555E+03  -0.177816E+03   0.000000E+00   0.660568E+07   0.660568E+07   0.660568E+07  -0.146849E+00   0.315253E+07   0.315197E+07   0.504529E+01
   0.403923E-01   0.598652E+07   0.594236E+07  -0.131047E+03  -0.132007E+03   0.000000E+00   0.597916E+07   0.597916E+07   0.597916E+07  -0.132921E+00   0.285353E+07   0.285303E+07   0.409885E+01
   0.444315E-01   0.545790E+07   0.541915E+07   0.486662E+02  -0.994669E+02   0.000000E+00   0.545144E+07   0.545144E+07   0.545144E+07  -0.121190E+00   0.260167E+07   0.260124E+07   0.322671E+01
   0.484707E-01   0.504657E+07   0.501407E+07   0.378179E+02  -0.772884E+02   0.000000E+00   0.504115E+07   0.504115E+07   0.504115E+07  -0.112069E+00   0.240586E+07   0.240549E+07   0.250078E+01
   0.525100E-01   0.471623E+07   0.468992E+07   0.301208E+02  -0.615523E+02   0.000000E+00   0.471185E+07   0.471185E+07   0.471185E+07  -0.104748E+00   0.224869E+07   0.224839E+07   0.192492E+01
   0.565492E-01   0.443772E+07   0.441679E+07   0.244429E+02  -0.499454E+02   0.000000E+00   0.443423E+07   0.443423E+07   0.443423E+07  -0.985762E-01   0.211619E+07   0.211594E+07   0.149443E+01
   0.605884E-01   0.418788E+07   0.417104E+07   0.200971E+02  -0.410628E+02   0.000000E+00   0.418507E+07   0.418507E+07   0.418507E+07  -0.930372E-01   0.199728E+07   0.199706E+07   0.119498E+01
   0.646276E-01   0.395089E+07   0.393661E+07   0.166655E+02  -0.340502E+02   0.000000E+00   0.394851E+07   0.394851E+07   0.394851E+07  -0.877783E-01   0.188438E+07   0.188419E+07   0.100474E+01
   0.686669E-01   0.371701E+07   0.370382E+07   0.138887E+02  -0.283770E+02   0.000000E+00   0.371482E+07   0.371482E+07   0.371482E+07  -0.825831E-01   0.177286E+07   0.177267E+07   0.897159E+00
   0.727061E-01   0.348920E+07   0.347588E+07   0.116282E+02  -0.237593E+02   0.000000E+00   0.348698E+07   0.348698E+07   0.348698E+07  -0.775183E-01   0.166413E+07   0.166394E+07   0.845646E+00
   0.767453E-01   0.325706E+07   0.324282E+07   0.974068E+01  -0.199038E+02   0.000000E+00   0.325469E+07   0.325469E+07   0.325469E+07  -0.723541E-01   0.155327E+07   0.155308E+07   0.822326E+00
   0.807846E-01   0.303274E+07   0.301727E+07   0.818401E+01  -0.167242E+02   0.000000E+00   0.303016E+07   0.303016E+07   0.303016E+07  -0.673627E-01   0.144612E+07   0.144592E+07   0.807544E+00
   0.848238E-01   0.282327E+07   0.280670E+07   0.690913E+01  -0.141200E+02   0.000000E+00   0.282051E+07   0.282051E+07   0.282051E+07  -0.627020E-01   0.134607E+07   0.134587E+07   0.786638E+00
   0.898687E-01   0.259185E+07   0.257458E+07   0.564959E+01  -0.115467E+02   0.000000E+00   0.258897E+07   0.258897E+07   0.258897E+07  -0.575548E-01   0.123557E+07   0.123537E+07   0.740119E+00
   0.949135E-01   0.240106E+07   0.238412E+07   0.469171E+01  -0.958925E+01   0.000000E+00   0.239823E+07   0.239823E+07   0.239823E+07  -0.533145E-01   0.114454E+07   0.114435E+07   0.668616E+00
   0.999584E-01   0.225162E+07   0.223603E+07   0.396697E+01  -0.810777E+01   0.000000E+00   0.224902E+07   0.224902E+07   0.224902E+07  -0.499973E-01   0.107333E+07   0.107316E+07   0.579301E+00
   0.105003E+00   0.213672E+07   0.212318E+07   0.341202E+01  -0.697309E+01   0.000000E+00   0.213446E+07   0.213446E+07   0.213446E+07  -0.474507E-01   0.101866E+07   0.101851E+07   0.484580E+00
   0.110048E+00   0.204490E+07   0.203363E+07   0.297349E+01  -0.607636E+01   0.000000E+00   0.204302E+07   0.204302E+07   0.204302E+07  -0.454180E-01   0.975017E+06   0.974886E+06   0.397260E+00
   0.115093E+00   0.196393E+07   0.195469E+07   0.261140E+01  -0.533602E+01   0.000000E+00   0.196239E+07   0.196239E+07   0.196239E+07  -0.436254E-01   0.936533E+06   0.936420E+06   0.326925E+00
   0.120138E+00   0.188371E+07   0.187591E+07   0.229910E+01  -0.469765E+01   0.000000E+00   0.188241E+07   0.188241E+07   0.188241E+07  -0.418474E-01   0.898362E+06   0.898262E+06   0.278026E+00
   0.125183E+00   0.179834E+07   0.179125E+07   0.202165E+01  -0.413068E+01   0.000000E+00   0.179716E+07   0.179716E+07   0.179716E+07  -0.399522E-01   0.857676E+06   0.857582E+06   0.249786E+00
   0.130228E+00   0.170682E+07   0.169978E+07   0.177289E+01  -0.362252E+01   0.000000E+00   0.170565E+07   0.170565E+07   0.170565E+07  -0.379179E-01   0.814005E+06   0.813912E+06   0.237454E+00
   0.135273E+00   0.161180E+07   0.160436E+07   0.155145E+01  -0.317022E+01   0.000000E+00   0.161056E+07   0.161056E+07   0.161056E+07  -0.358040E-01   0.768627E+06   0.768532E+06   0.234223E+00
   0.140318E+00   0.151765E+07   0.150965E+07   0.135745E+01  -0.277398E+01   0.000000E+00   0.151632E+07   0.151632E+07   0.151632E+07  -0.337089E-01   0.723651E+06   0.723553E+06   0.233239E+00
   0.145362E+00   0.142949E+07   0.142103E+07   0.119120E+01  -0.243439E+01   0.000000E+00   0.142808E+07   0.142808E+07   0.142808E+07  -0.317473E-01   0.681542E+06   0.681442E+06   0.229264E+00
